full_name,selling_price,new_price,year,seller_type,seller_type,km_driven,fuel_type,fuel_type,transmission_type,transmission_type,Mileage,Engine,Seats
Maruti Baleno Zeta Automatic,5.9,New Car (On-Road Price) : Rs.6.68-10.42 Lakh*,2016,Dealer,1,52427,Petrol,0,Automatic,1,21.4,1197,5
Mahindra Bolero B6,8.5,New Car (On-Road Price) : Rs.8.93-10.47 Lakh*,2020,Individual,0,40000,Diesel,1,Manual,0,21,1498,7
Tata Nano Cx BSIV,1.08,null,2011,Individual,0,70000,Petrol,0,Manual,0,26,624,4
Mahindra KUV100 NXT G80 K8 5Str BSIV,5.5,New Car (On-Road Price) : Rs.6.88-8.75 Lakh*,2018,Individual,0,17000,Petrol,0,Manual,0,18.15,1198,5
Toyota Etios G,3.25,null,2012,Dealer,1,54325,Petrol,0,Manual,0,17.6,1496,5
Maruti Baleno Vxi - BSIII,6.25,New Car (On-Road Price) : Rs.6.81-10.54 Lakh*,2016,Dealer,1,22000,Petrol,0,Manual,0,15.4,1590,5
Maruti Swift Dzire ZXI,6,New Car (On-Road Price) : Rs.6.98-10.40 Lakh*,2016,Individual,0,54000,Petrol,0,Manual,0,20.85,1197,5
Maruti Wagon R LXI Optional,4.45,New Car (On-Road Price) : Rs.5.11-6.79 Lakh*,2019,Individual,0,10000,Petrol,0,Manual,0,20.51,998,5
Maruti Ignis 1.2 Delta BSIV,5.3,New Car (On-Road Price) : Rs.5.77-8.56 Lakh*,2019,Individual,0,20000,Petrol,0,Manual,0,20.89,1197,5
Toyota Corolla Altis GL,3.85,null,2011,Dealer,1,61000,Petrol,0,Manual,0,14.53,1798,5
Maruti Wagon R LXI CNG,4.1,New Car (On-Road Price) : Rs.5.97-6.04 Lakh*,2018,Trustmark Dealer,2,53237,CNG,2,Manual,0,26.6,998,5
Datsun RediGO Gold 1.0,3.5,New Car (On-Road Price) : Rs.3.29-5.50 Lakh*,2018,Individual,0,27263,Petrol,0,Manual,0,22.5,999,5
Tata Indigo eLX BS IV,2.65,null,2014,Individual,0,90000,Diesel,1,Manual,0,25,1396,5
Hyundai Verna 1.6 CRDI,5.2,New Car (On-Road Price) : Rs.12.84-18.09 Lakh*,2014,Individual,0,110000,Diesel,1,Manual,0,22.32,1582,5
Hyundai i20 Asta Option 1.4 CRDi,7.5,New Car (On-Road Price) : Rs.9.59-12.83 Lakh*,2016,Individual,0,70000,Diesel,1,Manual,0,22.54,1396,5
Maruti Swift Dzire VDI,5.6,null,2017,Individual,0,70000,Diesel,1,Manual,0,26.59,1248,5
Tata Vista TDI LS,2,null,2014,Individual,0,190000,Diesel,1,Manual,0,19.1,1405,5
Hyundai Xcent 1.2 CRDi SX,6,null,2017,Individual,0,40000,Diesel,1,Manual,0,25.4,1186,5
Hyundai i20 1.2 Spotz,6.55,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,2019,Dealer,1,39000,Petrol,0,Manual,0,18.6,1197,5
Hyundai Santro Xing XE,1.25,null,2007,Dealer,1,56000,Petrol,0,Manual,0,17.8,1086,5
Toyota Corolla Altis 1.8 VL AT,4.25,null,2009,Dealer,1,58000,Petrol,0,Automatic,1,14.53,1794,5
Maruti Omni E MPI STD BS IV,2.2,null,2017,Individual,0,40000,Petrol,0,Manual,0,16.8,796,8
Hyundai i20 1.2 Spotz,5.5,New Car (On-Road Price) : Rs.7.83-13.12 Lakh*,2018,Individual,0,34000,Petrol,0,Manual,0,18.6,1197,5
Mahindra Scorpio 1.99 S10,11.5,New Car (On-Road Price) : Rs.15.10-19.92 Lakh*,2017,Individual,0,50000,Diesel,1,Manual,0,15.4,1997,7
Volkswagen Vento Diesel Highline,5,null,2012,Individual,0,77400,Diesel,1,Manual,0,20.54,1598,5
Mahindra Marazzo M2 BSIV,9.9,New Car (On-Road Price) : Rs.13.89-16.43 Lakh*,2019,Individual,0,36000,Diesel,1,Manual,0,17.3,1497,7
Hyundai Verna SX Opt Diesel,5.51,New Car (On-Road Price) : Rs.12.74-18.17 Lakh*,2013,Dealer,1,47876,Diesel,1,Manual,0,25,1493,5
Mahindra XUV500 W11 Option AT BSIV,16.5,New Car (On-Road Price) : Rs.16.54-23.28 Lakh*,2018,Individual,0,21500,Diesel,1,Automatic,1,15.1,2179,7
Hyundai Grand i10 CRDi Magna,3.5,null,2015,Dealer,1,75000,Diesel,1,Manual,0,24,1120,5
Ford Aspire 1.2 Ti-VCT Titanium,5,New Car (On-Road Price) : Rs.6.85-8.70 Lakh*,2017,Dealer,1,58000,Petrol,0,Manual,0,18.16,1196,5
Maruti Swift Dzire VXI 1.2,5.75,New Car (On-Road Price) : Rs.6.85-10.26 Lakh*,2018,Individual,0,30000,Petrol,0,Manual,0,21.21,1197,5
Hyundai Grand i10 1.2 CRDi Asta,5.45,null,2018,Individual,0,50000,Diesel,1,Manual,0,24,1186,5
Ford Figo 1.2P Titanium MT,5.25,New Car (On-Road Price) : Rs.6.02-7.91 Lakh*,2017,Trustmark Dealer,2,19093,Petrol,0,Manual,0,18.16,1196,5
Honda Amaze E i-Vtech,4,New Car (On-Road Price) : Rs.7.02-9.85 Lakh*,2014,Individual,0,50000,Petrol,0,Manual,0,18,1198,5
Maruti Wagon R LXI BSIII,1.55,New Car (On-Road Price) : Rs.5.16-6.94 Lakh*,2006,Dealer,1,37000,Petrol,0,Manual,0,14,1061,5
Mahindra Supro VX 8 Str,5.4,null,2019,Individual,0,3888,Diesel,1,Manual,0,23.5,909,8
Maruti Swift Dzire VDI,5.45,null,2016,Dealer,1,47000,Diesel,1,Manual,0,26.59,1248,5
Honda City V MT,5.45,New Car (On-Road Price) : Rs.13.13-17.45 Lakh*,2013,Individual,0,70000,Petrol,0,Manual,0,16.8,1497,5
Renault KWID RXL,2.4,New Car (On-Road Price) : Rs.3.62-6.09 Lakh*,2016,Individual,0,25000,Petrol,0,Manual,0,25.17,799,5
Maruti Vitara Brezza LDi Option,7.25,null,2018,Dealer,1,26000,Diesel,1,Manual,0,24.3,1248,5
Ford Aspire 1.2 Ti-VCT Titanium Opt,4.8,New Car (On-Road Price) : Rs.6.85-8.45 Lakh*,2017,Individual,0,30000,Petrol,0,Manual,0,18.16,1196,5
Hyundai i20 Magna Optional 1.2,3.75,New Car (On-Road Price) : Rs.7.83-13.12 Lakh*,2013,Individual,0,15000,Petrol,0,Manual,0,18.5,1197,5
Maruti Swift VDi BSIII W/ ABS,2.25,null,2011,Individual,0,160000,Diesel,1,Manual,0,17.8,1248,5
Tata Tiago 1.2 Revotron XZ,4,New Car (On-Road Price) : Rs.5.63-7.89 Lakh*,2017,Individual,0,32100,Petrol,0,Manual,0,23.84,1199,5
Hyundai i20 Magna Optional 1.2,5.5,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,2016,Dealer,1,22000,Petrol,0,Manual,0,18.5,1197,5
Mahindra Scorpio S10 7 Seater,10.5,null,2016,Dealer,1,44000,Diesel,1,Manual,0,15.4,2179,7
Volkswagen Polo 1.2 MPI Trendline,4.5,New Car (On-Road Price) : Rs.6.94-11.19 Lakh*,2016,Dealer,1,78000,Petrol,0,Manual,0,18.78,1198,5
Mercedes-Benz C-Class C 200 CGI Elegance,7.75,New Car (On-Road Price) : Rs.47.62-1.60 Cr*,2012,Dealer,1,74352,Petrol,0,Automatic,1,11.74,1796,5
Maruti Wagon R VXI,3.5,New Car (On-Road Price) : Rs.5.16-6.94 Lakh*,2014,Individual,0,37000,Petrol,0,Manual,0,20.51,998,5
Honda City i DTEC VX Option,5.5,New Car (On-Road Price) : Rs.14.79-17.55 Lakh*,2014,Dealer,1,69000,Diesel,1,Manual,0,25.1,1498,5
Kia Seltos HTK Plus G,10.8,New Car (On-Road Price) : Rs.11.19-19.20 Lakh*,2019,Individual,0,12120,Petrol,0,Manual,0,16.8,1497,5
Maruti Baleno Delta,5.75,null,2016,Dealer,1,52000,Petrol,0,Manual,0,21.01,1197,5
Toyota Innova 2.5 G (Diesel) 8 Seater,9.5,null,2016,Individual,0,120000,Diesel,1,Manual,0,12.99,2494,8
Maruti Alto 800 LXI,2.3,New Car (On-Road Price) : Rs.3.47-4.66 Lakh*,2013,Individual,0,55000,Petrol,0,Manual,0,22.74,796,5
Hyundai i20 1.4 CRDi Magna,2.7,New Car (On-Road Price) : Rs.8.60-11.28 Lakh*,2011,Individual,0,160000,Diesel,1,Manual,0,21.9,1396,5
Chevrolet Beat Diesel LS,1.65,null,2012,Dealer,1,42000,Diesel,1,Manual,0,25.44,936,5
Ford Figo Petrol EXI,1.3,New Car (On-Road Price) : Rs.6.13-7.91 Lakh*,2011,Individual,0,40000,Petrol,0,Manual,0,15.6,1196,5
Maruti Swift Dzire VXI,3.7,New Car (On-Road Price) : Rs.6.53-9.95 Lakh*,2012,Dealer,1,46000,Petrol,0,Manual,0,19.1,1197,5
Maruti Baleno Delta 1.2,5.7,New Car (On-Road Price) : Rs.6.68-10.42 Lakh*,2017,Dealer,1,25000,Petrol,0,Manual,0,21.4,1197,5
Toyota Etios GD,3.9,null,2015,Individual,0,240000,Diesel,1,Manual,0,23.59,1364,5
Volkswagen Polo Diesel Comfortline 1.2L,3.65,null,2013,Dealer,1,90000,Diesel,1,Manual,0,22.07,1199,5
Hyundai i20 Magna,2.8,null,2012,Dealer,1,49566,Petrol,0,Manual,0,18.5,1197,5
Hyundai Verna CRDi 1.6 AT SX Option,12.5,New Car (On-Road Price) : Rs.13.09-18.29 Lakh*,2018,Dealer,1,14000,Diesel,1,Automatic,1,22,1582,5
Hyundai i20 2015-2017 Sportz 1.2,5.9,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,2016,Dealer,1,11000,Petrol,0,Manual,0,18.6,1197,5
Maruti Celerio VXI AMT BSIV,4.75,New Car (On-Road Price) : Rs.5.30-6.65 Lakh*,2018,Individual,0,5000,Petrol,0,Automatic,1,23.1,998,5
Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,6.85,New Car (On-Road Price) : Rs.10.14-13.79 Lakh*,2017,Dealer,1,55000,Diesel,1,Manual,0,23,1498,5
Hyundai Verna SX CRDi AT,3.8,null,2012,Dealer,1,65000,Diesel,1,Automatic,1,19.08,1582,5
Renault KWID 1.0 RXT Optional,3.3,New Car (On-Road Price) : Rs.3.97-6.48 Lakh*,2018,Individual,0,22000,Petrol,0,Manual,0,23.01,999,5
Maruti Baleno Delta,6.5,New Car (On-Road Price) : Rs.6.68-10.42 Lakh*,2018,Trustmark Dealer,2,7671,Petrol,0,Manual,0,21.01,1197,5
Maruti Wagon R LXI,3.25,New Car (On-Road Price) : Rs.5.11-6.79 Lakh*,2016,Individual,0,66000,Petrol,0,Manual,0,20.51,998,5
Maruti Swift Dzire AMT VXI,6.4,New Car (On-Road Price) : Rs.6.56-10.04 Lakh*,2018,Dealer,1,45156,Petrol,0,Automatic,1,21.21,1197,5
Hyundai Venue SX Opt Turbo BSIV,9.49,New Car (On-Road Price) : Rs.7.19-12.12 Lakh*,2019,Individual,0,25000,Petrol,0,Manual,0,18.27,998,5
Nissan Terrano XL Plus 85 PS,7.5,null,2015,Individual,0,70000,Diesel,1,Manual,0,20.45,1461,5
Hyundai Verna 1.6 CRDi SX,6.6,New Car (On-Road Price) : Rs.12.84-18.09 Lakh*,2015,Individual,0,120000,Diesel,1,Manual,0,23.9,1582,5
Maruti Swift VXi BSIV,4.35,New Car (On-Road Price) : Rs.6.35-9.27 Lakh*,2014,Dealer,1,28000,Petrol,0,Manual,0,16.1,1197,5
Hyundai i20 Sportz 1.4 CRDi,3.85,New Car (On-Road Price) : Rs.9.74-13.09 Lakh*,2013,Dealer,1,55000,Diesel,1,Manual,0,21.9,1396,5
Hyundai Santa Fe 4X2,10,null,2011,Individual,0,104000,Diesel,1,Manual,0,14.66,2199,7
Hyundai Verna CRDi 1.6 AT SX Option,12.5,New Car (On-Road Price) : Rs.13.09-18.29 Lakh*,2019,Dealer,1,14000,Diesel,1,Automatic,1,22,1582,5
Hyundai Xcent 1.2 VTVT SX,5.5,null,2017,Individual,0,18000,Petrol,0,Manual,0,20.14,1197,5
Maruti Wagon R LX BS IV,1.55,New Car (On-Road Price) : Rs.5.30-7.07 Lakh*,2009,Dealer,1,98780,Petrol,0,Manual,0,18.9,998,5
Maruti Swift VDI BSIV,4.15,null,2015,Dealer,1,58000,Diesel,1,Manual,0,25.2,1248,5
Maruti Alto K10 2010-2014 VXI,2.51,null,2011,Individual,0,30000,Petrol,0,Manual,0,20.92,998,5
Mahindra Scorpio S10 7 Seater,11.5,New Car (On-Road Price) : Rs.15.10-19.92 Lakh*,2016,Dealer,1,46400,Diesel,1,Manual,0,15.4,2179,7
Hyundai i10 Magna 1.1L,3.1,null,2014,Trustmark Dealer,2,32111,Petrol,0,Manual,0,19.81,1086,5
Datsun GO Plus T BSIV,3.5,New Car (On-Road Price) : Rs.4.80-7.88 Lakh*,2015,Individual,0,35000,Petrol,0,Manual,0,19.44,1198,7
Mahindra Scorpio 1.99 S6 Plus,11.25,New Car (On-Road Price) : Rs.15.10-19.92 Lakh*,2017,Dealer,1,30000,Diesel,1,Manual,0,15.4,1997,7
BMW 5 Series 530d M Sport,26,null,2016,Dealer,1,63000,Diesel,1,Automatic,1,18.59,2993,5
Chevrolet Beat LT,2,null,2017,Individual,0,43890,Petrol,0,Manual,0,17.8,1199,5
Datsun GO Plus Anniversary Edition,4.8,New Car (On-Road Price) : Rs.4.97-8.09 Lakh*,2018,Individual,0,10000,Petrol,0,Manual,0,20.62,1198,7
Maruti Swift Dzire AMT ZDI Plus,8.5,null,2017,Individual,0,25000,Diesel,1,Automatic,1,28.4,1248,5
Hyundai Creta 1.6 CRDi AT SX Plus,11,New Car (On-Road Price) : Rs.11.70-19.75 Lakh*,2017,Dealer,1,102000,Diesel,1,Automatic,1,17.01,1582,5
Maruti Swift VXI 2018,5.75,null,2018,Dealer,1,35000,Petrol,0,Manual,0,22,1197,5
Hyundai Santro LP,1.6,New Car (On-Road Price) : Rs.5.51-7.46 Lakh*,2007,Individual,0,54000,Petrol,0,Manual,0,15,999,5
Maruti Swift Dzire VXi,3.4,New Car (On-Road Price) : Rs.6.56-10.04 Lakh*,2012,Dealer,1,49948,Petrol,0,Manual,0,17.5,1298,5
Tata Indigo eLX BS IV,5.59,null,2018,Individual,0,114851,Diesel,1,Manual,0,25,1396,5
Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,9.25,New Car (On-Road Price) : Rs.10.15-13.71 Lakh*,2018,Individual,0,55000,Diesel,1,Manual,0,23,1498,5
Hyundai Grand i10 Magna,4,New Car (On-Road Price) : Rs.6.48-6.57 Lakh*,2015,Dealer,1,36000,Petrol,0,Manual,0,18.9,1197,5
Hyundai Xcent 1.2 CRDi S,5.6,null,2019,Individual,0,35000,Diesel,1,Manual,0,25.4,1186,5
Honda City i VTEC VX Option,7.25,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,2016,Dealer,1,49625,Petrol,0,Manual,0,17.8,1497,5
Maruti Swift Dzire ZDI,6,null,2014,Individual,0,35000,Diesel,1,Manual,0,23.4,1248,5
Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,5.5,New Car (On-Road Price) : Rs.14.79-19.20 Lakh*,2013,Individual,0,95000,Diesel,1,Manual,0,12.05,2179,8
Ford Aspire 1.5 TDCi Titanium,5.85,New Car (On-Road Price) : Rs.9.72-10.08 Lakh*,2017,Dealer,1,36000,Diesel,1,Manual,0,25.83,1498,5
Maruti Wagon R VXI,4.11,New Car (On-Road Price) : Rs.5.36-7.12 Lakh*,2019,Individual,0,50000,Petrol,0,Manual,0,21.79,998,5
Maruti Swift Dzire VXI,4.5,New Car (On-Road Price) : Rs.6.80-10.13 Lakh*,2015,Individual,0,26500,Petrol,0,Manual,0,20.85,1197,5
Honda CR-V 2.0L 2WD AT,12.9,New Car (On-Road Price) : Rs.32.64-34.05 Lakh*,2015,Dealer,1,80000,Petrol,0,Automatic,1,13.7,1997,5
Volkswagen Polo 1.2 MPI Highline,4.55,null,2015,Dealer,1,46000,Petrol,0,Manual,0,16.47,1198,5
Hyundai Grand i10 Nios Asta,7.1,New Car (On-Road Price) : Rs.5.96-8.91 Lakh*,2019,Individual,0,9000,Petrol,0,Manual,0,20.7,1197,5
Mahindra TUV 300 T4,4.5,null,2016,Individual,0,70000,Diesel,1,Manual,0,18.49,1493,7
Toyota Etios Liva 1.2 VX,4.65,null,2015,Dealer,1,33000,Petrol,0,Manual,0,17.71,1197,5
Honda City V MT,7.7,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,2016,Dealer,1,53000,Petrol,0,Manual,0,16.8,1497,5
Tata Indigo LS (TDI) BS-III,3.2,null,2015,Individual,0,50000,Diesel,1,Manual,0,19.09,1405,5
Tata Indigo LX (TDI) BS-III,3.25,null,2015,Individual,0,50000,Diesel,1,Manual,0,19.09,1405,5
Ford Endeavour 3.2 Titanium AT 4X4,29,New Car (On-Road Price) : Rs.36.27-42.73 Lakh*,2018,Individual,0,11387,Diesel,1,Automatic,1,10.91,3198,7
Honda Amaze VX i-DTEC,7.2,New Car (On-Road Price) : Rs.8.99-11.66 Lakh*,2018,Individual,0,50000,Diesel,1,Manual,0,25.8,1498,5
Mahindra KUV 100 mFALCON D75 K6 5str,3.75,null,2016,Dealer,1,52000,Diesel,1,Manual,0,25.32,1198,5
Chevrolet Aveo 1.4 LT ABS BSIV,1.45,null,2010,Individual,0,60000,Petrol,0,Manual,0,14.49,1399,5
Datsun GO Plus T BSIV,4,New Car (On-Road Price) : Rs.4.80-7.88 Lakh*,2015,Individual,0,35000,Petrol,0,Manual,0,19.44,1198,7
Renault Duster 85PS Diesel RxL Plus,6,null,2015,Individual,0,48000,Diesel,1,Manual,0,19.87,1461,5
Honda Jazz 1.2 V i VTEC,6,New Car (On-Road Price) : Rs.8.56-10.99 Lakh*,2018,Individual,0,18000,Petrol,0,Manual,0,18.7,1199,5
Maruti Wagon R LXI DUO,2.7,null,2012,Individual,0,57413,LPG,3,Manual,0,14.4,998,5
Hyundai i20 Magna 1.2,5,New Car (On-Road Price) : Rs.7.63-12.66 Lakh*,2015,Individual,0,30000,Petrol,0,Manual,0,18.6,1197,5
Hyundai Verna 1.6 CRDi SX,6.5,New Car (On-Road Price) : Rs.13.09-18.29 Lakh*,2015,Dealer,1,55000,Diesel,1,Manual,0,23.9,1582,5
Chevrolet Sail 1.2 LS ABS,3.8,null,2015,Individual,0,120000,Petrol,0,Manual,0,18.2,1199,5
Mitsubishi Pajero Sport 4X4,7.28,null,2012,Individual,0,165000,Diesel,1,Manual,0,13.5,2477,7
Maruti Swift AMT ZXI,6.6,New Car (On-Road Price) : Rs.6.29-9.14 Lakh*,2018,Individual,0,10000,Petrol,0,Automatic,1,21.21,1197,5
Tata Indica Vista Aura 1.3 Quadrajet,1.8,null,2010,Individual,0,120000,Diesel,1,Manual,0,18,1248,5
BMW 3 Series 320d Luxury Line,20.9,null,2016,Dealer,1,68000,Diesel,1,Automatic,1,22.69,1995,5
Chevrolet Beat Diesel LS,2.5,null,2015,Dealer,1,55000,Diesel,1,Manual,0,25.44,936,5
Kia Seltos HTK Plus G,12.75,New Car (On-Road Price) : Rs.11.52-20.26 Lakh*,2020,Dealer,1,8000,Petrol,0,Manual,0,16.8,1497,5
Toyota Corolla Altis G,4.55,null,2012,Dealer,1,80000,Petrol,0,Manual,0,14.53,1798,5
Maruti Swift VDI,4.95,null,2015,Dealer,1,65000,Diesel,1,Manual,0,28.4,1248,5
Maruti Ritz VXI,2.2,null,2010,Individual,0,47000,Petrol,0,Manual,0,21.1,1197,5
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,8,null,2018,Individual,0,185000,Diesel,1,Manual,0,25.1,1248,5
Hyundai Santa Fe 2WD AT,12.95,null,2014,Dealer,1,68000,Diesel,1,Automatic,1,13.01,2199,7
Hyundai Grand i10 Sportz,4.75,New Car (On-Road Price) : Rs.7.11-7.48 Lakh*,2016,Individual,0,25000,Petrol,0,Manual,0,18.9,1197,5
Tata Sumo Gold EX,3.8,null,2014,Individual,0,280000,Diesel,1,Manual,0,15.3,2956,7
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,9,null,2018,Individual,0,7791,Diesel,1,Manual,0,25.1,1248,5
